photo,class
plastic200.jpg,3.0
cardboard456.jpg,1.0
metal104.jpg,2.0
white-glass53.jpg,4.0
cardboard820.jpg,1.0
plastic822.jpg,3.0
green-glass46.jpg,4.0
metal526.jpg,2.0
brown-glass192.jpg,4.0
brown-glass318.jpg,4.0
white-glass465.jpg,4.0
paper650.jpg,1.0
cardboard525.jpg,1.0
metal453.jpg,2.0
green-glass261.jpg,4.0
cardboard263.jpg,1.0
metal710.jpg,2.0
plastic861.jpg,3.0
paper214.jpg,1.0
green-glass27.jpg,4.0
paper822.jpg,1.0
paper438.jpg,1.0
plastic288.jpg,3.0
paper824.jpg,1.0
plastic582.jpg,3.0
brown-glass531.jpg,4.0
brown-glass303.jpg,4.0
cardboard843.jpg,1.0
metal507.jpg,2.0
brown-glass132.jpg,4.0
cardboard166.jpg,1.0
brown-glass376.jpg,4.0
plastic462.jpg,3.0
cardboard560.jpg,1.0
paper278.jpg,1.0
metal98.jpg,2.0
metal509.jpg,2.0
plastic665.jpg,3.0
cardboard828.jpg,1.0
metal123.jpg,2.0
plastic615.jpg,3.0
white-glass20.jpg,4.0
white-glass268.jpg,4.0
plastic540.jpg,3.0
brown-glass347.jpg,4.0
plastic815.jpg,3.0
cardboard327.jpg,1.0
brown-glass497.jpg,4.0
cardboard822.jpg,1.0
metal408.jpg,2.0
plastic459.jpg,3.0
green-glass556.jpg,4.0
brown-glass336.jpg,4.0
metal415.jpg,2.0
cardboard758.jpg,1.0
paper398.jpg,1.0
plastic57.jpg,3.0
cardboard706.jpg,1.0
cardboard366.jpg,1.0
cardboard295.jpg,1.0
cardboard686.jpg,1.0
plastic24.jpg,3.0
plastic824.jpg,3.0
cardboard380.jpg,1.0
metal513.jpg,2.0
metal325.jpg,2.0
plastic715.jpg,3.0
plastic258.jpg,3.0
brown-glass429.jpg,4.0
cardboard736.jpg,1.0
cardboard798.jpg,1.0
brown-glass37.jpg,4.0
white-glass692.jpg,4.0
cardboard869.jpg,1.0
metal183.jpg,2.0
cardboard341.jpg,1.0
plastic608.jpg,3.0
cardboard486.jpg,1.0
white-glass448.jpg,4.0
plastic688.jpg,3.0
cardboard89.jpg,1.0
cardboard255.jpg,1.0
plastic217.jpg,3.0
brown-glass229.jpg,4.0
plastic285.jpg,3.0
green-glass50.jpg,4.0
metal643.jpg,2.0
paper746.jpg,1.0
paper22.jpg,1.0
paper665.jpg,1.0
cardboard165.jpg,1.0
metal691.jpg,2.0
green-glass291.jpg,4.0
paper1009.jpg,1.0
white-glass648.jpg,4.0
cardboard376.jpg,1.0
brown-glass415.jpg,4.0
paper265.jpg,1.0
cardboard471.jpg,1.0
metal699.jpg,2.0
cardboard674.jpg,1.0
plastic725.jpg,3.0
metal91.jpg,2.0
green-glass217.jpg,4.0
white-glass259.jpg,4.0
green-glass367.jpg,4.0
plastic652.jpg,3.0
white-glass769.jpg,4.0
cardboard639.jpg,1.0
metal514.jpg,2.0
metal64.jpg,2.0
cardboard717.jpg,1.0
white-glass569.jpg,4.0
paper522.jpg,1.0
green-glass416.jpg,4.0
plastic720.jpg,3.0
paper615.jpg,1.0
white-glass241.jpg,4.0
plastic85.jpg,3.0
metal667.jpg,2.0
white-glass550.jpg,4.0
brown-glass10.jpg,4.0
cardboard437.jpg,1.0
paper570.jpg,1.0
white-glass685.jpg,4.0
cardboard180.jpg,1.0
white-glass162.jpg,4.0
paper483.jpg,1.0
paper336.jpg,1.0
cardboard318.jpg,1.0
cardboard537.jpg,1.0
cardboard831.jpg,1.0
white-glass104.jpg,4.0
metal705.jpg,2.0
metal659.jpg,2.0
metal516.jpg,2.0
cardboard658.jpg,1.0
metal427.jpg,2.0
metal602.jpg,2.0
green-glass126.jpg,4.0
plastic167.jpg,3.0
metal203.jpg,2.0
cardboard682.jpg,1.0
green-glass547.jpg,4.0
paper1002.jpg,1.0
paper249.jpg,1.0
brown-glass68.jpg,4.0
paper589.jpg,1.0
white-glass362.jpg,4.0
plastic605.jpg,3.0
brown-glass396.jpg,4.0
paper530.jpg,1.0
paper834.jpg,1.0
green-glass423.jpg,4.0
plastic61.jpg,3.0
cardboard126.jpg,1.0
paper488.jpg,1.0
brown-glass224.jpg,4.0
green-glass605.jpg,4.0
paper1021.jpg,1.0
plastic388.jpg,3.0
cardboard122.jpg,1.0
brown-glass233.jpg,4.0
paper271.jpg,1.0
white-glass537.jpg,4.0
paper207.jpg,1.0
paper534.jpg,1.0
metal493.jpg,2.0
paper835.jpg,1.0
white-glass106.jpg,4.0
plastic190.jpg,3.0
paper473.jpg,1.0
metal143.jpg,2.0
cardboard436.jpg,1.0
plastic734.jpg,3.0
metal580.jpg,2.0
paper916.jpg,1.0
plastic722.jpg,3.0
cardboard38.jpg,1.0
white-glass633.jpg,4.0
brown-glass473.jpg,4.0
paper628.jpg,1.0
green-glass466.jpg,4.0
paper235.jpg,1.0
metal464.jpg,2.0
paper545.jpg,1.0
paper577.jpg,1.0
cardboard500.jpg,1.0
paper404.jpg,1.0
paper683.jpg,1.0
green-glass225.jpg,4.0
brown-glass255.jpg,4.0
white-glass561.jpg,4.0
plastic140.jpg,3.0
white-glass130.jpg,4.0
cardboard463.jpg,1.0
white-glass125.jpg,4.0
metal511.jpg,2.0
plastic32.jpg,3.0
cardboard838.jpg,1.0
plastic127.jpg,3.0
cardboard559.jpg,1.0
brown-glass401.jpg,4.0
green-glass322.jpg,4.0
paper808.jpg,1.0
cardboard407.jpg,1.0
brown-glass448.jpg,4.0
brown-glass405.jpg,4.0
metal487.jpg,2.0
white-glass477.jpg,4.0
plastic25.jpg,3.0
metal301.jpg,2.0
white-glass688.jpg,4.0
cardboard450.jpg,1.0
cardboard844.jpg,1.0
metal570.jpg,2.0
green-glass371.jpg,4.0
green-glass400.jpg,4.0
plastic183.jpg,3.0
cardboard737.jpg,1.0
plastic622.jpg,3.0
white-glass557.jpg,4.0
green-glass101.jpg,4.0
plastic327.jpg,3.0
plastic324.jpg,3.0
white-glass111.jpg,4.0
plastic587.jpg,3.0
metal193.jpg,2.0
cardboard641.jpg,1.0
cardboard523.jpg,1.0
brown-glass186.jpg,4.0
paper288.jpg,1.0
brown-glass182.jpg,4.0
cardboard457.jpg,1.0
paper90.jpg,1.0
plastic566.jpg,3.0
paper325.jpg,1.0
cardboard514.jpg,1.0
metal418.jpg,2.0
metal522.jpg,2.0
green-glass580.jpg,4.0
cardboard90.jpg,1.0
plastic592.jpg,3.0
white-glass625.jpg,4.0
paper677.jpg,1.0
white-glass222.jpg,4.0
paper86.jpg,1.0
white-glass743.jpg,4.0
brown-glass168.jpg,4.0
green-glass527.jpg,4.0
paper176.jpg,1.0
cardboard878.jpg,1.0
cardboard475.jpg,1.0
white-glass317.jpg,4.0
green-glass453.jpg,4.0
cardboard611.jpg,1.0
paper146.jpg,1.0
metal263.jpg,2.0
white-glass121.jpg,4.0
paper480.jpg,1.0
green-glass435.jpg,4.0
brown-glass27.jpg,4.0
white-glass9.jpg,4.0
metal242.jpg,2.0
white-glass285.jpg,4.0
cardboard535.jpg,1.0
green-glass570.jpg,4.0
green-glass351.jpg,4.0
plastic287.jpg,3.0
green-glass539.jpg,4.0
brown-glass286.jpg,4.0
metal619.jpg,2.0
white-glass751.jpg,4.0
green-glass609.jpg,4.0
paper73.jpg,1.0
brown-glass287.jpg,4.0
brown-glass190.jpg,4.0
cardboard205.jpg,1.0
plastic437.jpg,3.0
green-glass161.jpg,4.0
green-glass19.jpg,4.0
cardboard330.jpg,1.0
green-glass192.jpg,4.0
cardboard743.jpg,1.0
metal92.jpg,2.0
white-glass689.jpg,4.0
metal461.jpg,2.0
green-glass303.jpg,4.0
brown-glass100.jpg,4.0
cardboard104.jpg,1.0
white-glass524.jpg,4.0
paper257.jpg,1.0
plastic115.jpg,3.0
metal90.jpg,2.0
paper676.jpg,1.0
brown-glass206.jpg,4.0
white-glass520.jpg,4.0
green-glass77.jpg,4.0
paper767.jpg,1.0
metal74.jpg,2.0
metal270.jpg,2.0
green-glass229.jpg,4.0
cardboard182.jpg,1.0
green-glass595.jpg,4.0
metal381.jpg,2.0
metal544.jpg,2.0
paper574.jpg,1.0
cardboard386.jpg,1.0
paper414.jpg,1.0
metal612.jpg,2.0
plastic548.jpg,3.0
cardboard390.jpg,1.0
cardboard714.jpg,1.0
metal660.jpg,2.0
white-glass484.jpg,4.0
green-glass83.jpg,4.0
brown-glass160.jpg,4.0
white-glass275.jpg,4.0
green-glass162.jpg,4.0
metal554.jpg,2.0
cardboard402.jpg,1.0
white-glass176.jpg,4.0
paper798.jpg,1.0
paper238.jpg,1.0
plastic11.jpg,3.0
plastic101.jpg,3.0
brown-glass352.jpg,4.0
white-glass401.jpg,4.0
metal309.jpg,2.0
cardboard74.jpg,1.0
plastic234.jpg,3.0
white-glass197.jpg,4.0
metal707.jpg,2.0
paper87.jpg,1.0
cardboard319.jpg,1.0
cardboard785.jpg,1.0
metal742.jpg,2.0
green-glass279.jpg,4.0
green-glass116.jpg,4.0
paper411.jpg,1.0
green-glass17.jpg,4.0
metal422.jpg,2.0
white-glass456.jpg,4.0
metal395.jpg,2.0
white-glass314.jpg,4.0
brown-glass381.jpg,4.0
paper813.jpg,1.0
green-glass428.jpg,4.0
paper892.jpg,1.0
green-glass450.jpg,4.0
cardboard290.jpg,1.0
white-glass91.jpg,4.0
white-glass719.jpg,4.0
plastic549.jpg,3.0
brown-glass63.jpg,4.0
plastic78.jpg,3.0
green-glass546.jpg,4.0
white-glass571.jpg,4.0
plastic660.jpg,3.0
white-glass344.jpg,4.0
plastic759.jpg,3.0
plastic243.jpg,3.0
plastic640.jpg,3.0
plastic632.jpg,3.0
cardboard153.jpg,1.0
white-glass207.jpg,4.0
brown-glass162.jpg,4.0
white-glass610.jpg,4.0
white-glass359.jpg,4.0
metal135.jpg,2.0
white-glass114.jpg,4.0
white-glass631.jpg,4.0
green-glass15.jpg,4.0
cardboard472.jpg,1.0
white-glass371.jpg,4.0
white-glass301.jpg,4.0
paper422.jpg,1.0
brown-glass374.jpg,4.0
plastic557.jpg,3.0
white-glass124.jpg,4.0
cardboard710.jpg,1.0
cardboard291.jpg,1.0
plastic431.jpg,3.0
metal12.jpg,2.0
cardboard526.jpg,1.0
white-glass283.jpg,4.0
plastic335.jpg,3.0
cardboard365.jpg,1.0
plastic254.jpg,3.0
white-glass67.jpg,4.0
paper794.jpg,1.0
brown-glass158.jpg,4.0
cardboard497.jpg,1.0
metal236.jpg,2.0
brown-glass540.jpg,4.0
metal296.jpg,2.0
green-glass31.jpg,4.0
green-glass94.jpg,4.0
cardboard842.jpg,1.0
green-glass358.jpg,4.0
paper543.jpg,1.0
cardboard873.jpg,1.0
cardboard598.jpg,1.0
paper996.jpg,1.0
brown-glass172.jpg,4.0
paper11.jpg,1.0
metal6.jpg,2.0
green-glass148.jpg,4.0
white-glass762.jpg,4.0
paper162.jpg,1.0
paper448.jpg,1.0
white-glass255.jpg,4.0
paper778.jpg,1.0
paper391.jpg,1.0
paper611.jpg,1.0
plastic756.jpg,3.0
paper520.jpg,1.0
cardboard48.jpg,1.0
metal212.jpg,2.0
plastic570.jpg,3.0
paper697.jpg,1.0
white-glass650.jpg,4.0
white-glass218.jpg,4.0
plastic126.jpg,3.0
white-glass712.jpg,4.0
green-glass198.jpg,4.0
green-glass260.jpg,4.0
white-glass622.jpg,4.0
brown-glass438.jpg,4.0
white-glass582.jpg,4.0
paper111.jpg,1.0
white-glass747.jpg,4.0
paper330.jpg,1.0
paper497.jpg,1.0
cardboard850.jpg,1.0
paper578.jpg,1.0
green-glass519.jpg,4.0
paper581.jpg,1.0
metal152.jpg,2.0
cardboard6.jpg,1.0
paper652.jpg,1.0
paper358.jpg,1.0
brown-glass57.jpg,4.0
plastic317.jpg,3.0
metal142.jpg,2.0
cardboard623.jpg,1.0
metal406.jpg,2.0
green-glass153.jpg,4.0
plastic196.jpg,3.0
paper161.jpg,1.0
metal543.jpg,2.0
paper872.jpg,1.0
metal259.jpg,2.0
metal333.jpg,2.0
plastic617.jpg,3.0
paper609.jpg,1.0
metal96.jpg,2.0
paper310.jpg,1.0
metal7.jpg,2.0
plastic509.jpg,3.0
brown-glass3.jpg,4.0
brown-glass554.jpg,4.0
plastic701.jpg,3.0
paper322.jpg,1.0
plastic199.jpg,3.0
plastic667.jpg,3.0
brown-glass74.jpg,4.0
metal748.jpg,2.0
brown-glass166.jpg,4.0
cardboard361.jpg,1.0
metal485.jpg,2.0
paper431.jpg,1.0
metal579.jpg,2.0
cardboard191.jpg,1.0
paper270.jpg,1.0
white-glass552.jpg,4.0
metal15.jpg,2.0
metal744.jpg,2.0
metal492.jpg,2.0
paper437.jpg,1.0
green-glass475.jpg,4.0
white-glass27.jpg,4.0
metal239.jpg,2.0
paper484.jpg,1.0
paper143.jpg,1.0
green-glass266.jpg,4.0
green-glass110.jpg,4.0
plastic58.jpg,3.0
brown-glass344.jpg,4.0
paper383.jpg,1.0
paper297.jpg,1.0
green-glass347.jpg,4.0
metal304.jpg,2.0
metal69.jpg,2.0
plastic228.jpg,3.0
cardboard657.jpg,1.0
brown-glass586.jpg,4.0
white-glass219.jpg,4.0
paper926.jpg,1.0
paper1008.jpg,1.0
plastic487.jpg,3.0
brown-glass539.jpg,4.0
plastic690.jpg,3.0
paper378.jpg,1.0
green-glass215.jpg,4.0
plastic122.jpg,3.0
metal700.jpg,2.0
green-glass87.jpg,4.0
plastic649.jpg,3.0
metal754.jpg,2.0
green-glass566.jpg,4.0
brown-glass464.jpg,4.0
plastic818.jpg,3.0
white-glass310.jpg,4.0
green-glass518.jpg,4.0
paper621.jpg,1.0
green-glass391.jpg,4.0
brown-glass592.jpg,4.0
green-glass541.jpg,4.0
green-glass414.jpg,4.0
cardboard382.jpg,1.0
brown-glass365.jpg,4.0
brown-glass578.jpg,4.0
cardboard328.jpg,1.0
brown-glass264.jpg,4.0
paper868.jpg,1.0
paper680.jpg,1.0
brown-glass104.jpg,4.0
plastic833.jpg,3.0
white-glass433.jpg,4.0
white-glass545.jpg,4.0
green-glass545.jpg,4.0
green-glass146.jpg,4.0
green-glass569.jpg,4.0
metal77.jpg,2.0
metal646.jpg,2.0
brown-glass561.jpg,4.0
white-glass327.jpg,4.0
paper583.jpg,1.0
plastic474.jpg,3.0
paper725.jpg,1.0
metal222.jpg,2.0
plastic38.jpg,3.0
paper860.jpg,1.0
paper716.jpg,1.0
cardboard659.jpg,1.0
plastic156.jpg,3.0
metal634.jpg,2.0
paper117.jpg,1.0
paper797.jpg,1.0
cardboard797.jpg,1.0
paper308.jpg,1.0
cardboard157.jpg,1.0
cardboard99.jpg,1.0
white-glass308.jpg,4.0
paper245.jpg,1.0
